Sample_Time,Sample_Year,Site,PSP,TREE_ID,SPCD,STAT_new,DBH_cm,TLHT_m,CRCL,PREVDBH_cm,PREVTLHT_m,PREVCRCL,STAT,DBH_live,TLHT_live,CRCL_live
3,2005,1021,10062,104930,4,0,21.8948,22.86,2,21.4884,22.86,,0,21.8948,22.86,2
4,2010,1021,10062,104930,4,0,22.1996,23.1648,2,21.8948,22.86,,0,22.1996,23.1648,2
1,1995,1021,10062,104932,4,0,21.6916,22.5552,1,,,,0,21.6916,22.5552,1
2,2000,1021,10062,104932,4,0,22.2504,22.5552,1,21.6916,22.5552,,0,22.2504,22.5552,1
3,2005,1021,10062,104932,4,0,22.4536,22.5552,2,22.2504,22.5552,,0,22.4536,22.5552,2
4,2010,1021,10062,104932,4,0,25.3238,22.86,2,22.4536,22.5552,,0,25.3238,22.86,2
1,1995,1021,10062,104935,4,0,8.5598,11.2776,4,,,,0,8.5598,11.2776,4
1,1995,1021,10062,104937,4,0,16.764,21.336,2,,,,0,16.764,21.336,2
2,2000,1021,10062,104937,4,0,17.5006,21.9456,2,16.764,21.336,,0,17.5006,21.9456,2
3,2005,1021,10062,104937,4,0,17.7292,21.9456,2,17.5006,21.9456,,0,17.7292,21.9456,2
4,2010,1021,10062,104937,4,0,18.0594,22.2504,2,17.7292,21.9456,,0,18.0594,22.2504,2
1,1995,1021,10062,104938,4,0,16.129,20.4216,2,,,,0,16.129,20.4216,2
2,2000,1021,10062,104938,4,0,16.9672,21.336,2,16.129,20.4216,,0,16.9672,21.336,2
3,2005,1021,10062,104938,4,0,17.3736,21.336,2,16.9672,21.336,,0,17.3736,21.336,2
4,2010,1021,10062,104938,4,0,17.907,21.9456,2,17.3736,21.336,,0,17.907,21.9456,2
1,1995,1021,10062,104939,4,0,14.732,18.288,2,,,,0,14.732,18.288,2
2,2000,1021,10062,104939,4,0,15.3162,19.2024,2,14.732,18.288,,0,15.3162,19.2024,2
3,2005,1021,10062,104939,4,0,15.5702,20.1168,2,15.3162,19.2024,,0,15.5702,20.1168,2
4,2010,1021,10062,104939,4,0,15.875,20.7264,2,15.5702,20.1168,,0,15.875,20.7264,2
