site,psp,year,ndvi.max
1104,10307,2016,0.679285736
1104,10307,2017,0.704052247
1104,10307,2018,0.699176336
1104,10308,1986,0.731626363
1104,10308,1994,0.757460281
1104,10308,1995,0.751369993
1104,10308,1996,0.701654927
1104,10308,1997,0.724840718
1104,10308,1999,0.715934398
1104,10308,2000,0.712506957
1104,10308,2001,0.715183527
1104,10308,2002,0.701298822
1104,10308,2003,0.680235571
1104,10308,2004,0.687669095
1104,10308,2005,0.666165944
1104,10308,2006,0.705213271
1104,10308,2007,0.6803633
1104,10308,2008,0.695910243
1104,10308,2009,0.669730536
1104,10308,2010,0.708840527
1104,10308,2011,0.727838634
1104,10308,2012,0.675023581
1104,10308,2013,0.714158091
1104,10308,2014,0.673672396
1104,10308,2015,0.702284247
1104,10308,2016,0.698050531
1104,10308,2017,0.720593005
1104,10308,2018,0.714668679
1104,10309,1994,0.771933967
1104,10309,1995,0.789790836
1104,10309,1996,0.755571732
1104,10309,1997,0.761287858
1104,10309,1999,0.746303708
1104,10309,2000,0.763086885
1104,10309,2001,0.729482009
1104,10309,2002,0.70916953
1104,10309,2003,0.718835015
1104,10309,2004,0.714211352
1104,10309,2005,0.693926576
1104,10309,2006,0.683354728
1104,10309,2007,0.689865862
1104,10309,2008,0.683263129
1104,10309,2009,0.693808382
1104,10309,2010,0.725768492
1104,10309,2011,0.727141418
1104,10309,2012,0.730759031
1104,10309,2013,0.722982465
1104,10309,2014,0.710569802
1104,10309,2015,0.714117055
1104,10309,2016,0.703843275
1104,10309,2017,0.742164817
1104,10309,2018,0.723663759
